Element ID	Element Name	Description
4.C.3.a.2	Impact of Decisions	The frequency and nature of the impact of worker's decisions on the organization
4.C.3.a.2.a	Impact of Decisions on Co-workers or Company Results	What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
4.C.3.a.2.b	Frequency of Decision Making	How frequently is the worker required to make decisions that affect other people, the financial resources, and/or the image and reputation of the organization?
4.C.3.a.4	Freedom to Make Decisions	How much decision making freedom, without supervision, does the job offer?
4.C.3.b	Routine versus Challenging Work	The relative amounts of routine versus challenging work the worker will perform as part of this job
4.C.3.b.2	Degree of Automation	How automated is the job?
4.C.3.b.4	Importance of Being Exact or Accurate	How important is being very exact or highly accurate in performing this job?
4.C.3.b.7	Importance of Repeating Same Tasks	How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this job?
4.C.3.b.8	Structured versus Unstructured Work	To what extent is this job structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?
4.C.3.c	Competition	Amount of competition that the worker will face as part of this job
4.C.3.c.1	Level of Competition	To what extent does this job require the worker to compete or to be aware of competitive pressures?
4.C.3.d	Pace and Scheduling	Description of the role that time plays in the way the worker performs the tasks required by this job
4.C.3.d.1	Time Pressure	How often does this job require the worker to meet strict deadlines?
4.C.3.d.3	Pace Determined by Speed of Equipment	How important is it to this job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
4.C.3.d.4	Work Schedules	How regular are the work schedules for this job?
4.C.3.d.8	Duration of Typical Work Week	Number of hours typically worked in one week.
4.D	Detailed Work Activities	Specific work activities that are performed across a small to moderate number of occupations within a job family.
4.D.1	Detailed Work Activities List	List of detailed work activities for each occupation
4.E	Intermediate Work Activities	Work activities that are common across many occupations. They are performed in many job families and industries.
4.E.1	Intermediate Work Activities List	List of intermediate work activities for each occupation
5	Occupation-Specific Information	Occupation-Specific Information
5.A	Tasks	Occupation-Specific Tasks
5.A.1	Task List	List of tasks for each occupation
5.C	Title	Primary title and code used to identify a single occupation in the O*NET-SOC taxonomy
5.C.1	Title	O*NET-SOC occupation title and code
5.D	Description	A statement of required or important duties performed by workers in an occupation in the O*NET-SOC taxonomy.
5.D.1	Description	O*NET-SOC occupation description
5.E	Alternate Titles	Alternate or "lay titles" include related job titles and occupational titles gathered from job incumbents, occupational experts, government agencies, professional groups, customer input, employer job postings, and other occupational classification systems.
5.E.1	Alternate Titles List	List of alternate titles
5.E.2	Sample of Reported Titles List	List of sample of reported titles
5.F	Technology Skills	Information technology and software skills essential to the functions of an occupational role.
5.F.1	Technology Skills List	List of technology skills for each occupation.
5.G	Tools	Machines, equipment, and tools essential to the performance of an occupational role.
5.G.1	Tools List	List of machines, equipment, and tools for each occupation.
6	Workforce Characteristics	Workforce Characteristics
6.A	Labor Market Information	Labor Market Information
6.A.1	Occupational Statistics	Information related to economic conditions and labor force characteristics of occupations
6.B	Occupational Outlook	Occupational Outlook
6.B.1	Occupational Projections	Projections of future economic conditions and labor force characteristics of occupations
