OPM SERIES NUMBER,OPM SERIES TITLE ,SUPERVISORY FEDERAL SECTOR JOB GROUP,NON-SUPERVISORY FEDERAL SECTOR JOB GROUP,2010 SOC CODE,2010 SOC CODE TEXT,2010 EEO TABULATION (CENSUS) CODE,2010 EEO TABULATION (CENSUS) OCCUPATION TITLE
3712,HEAT TREATING,1,7,51-4191,51-4191,8150,"HEAT TREATING EQUIPMENT SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
3701,GENERAL METAL PROCESSING,1,7,51-4193,51-4193,8200,"PLATING & COATING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
3707,METALIZING,1,7,51-4193,51-4193,8200,"PLATING & COATING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
3711,ELECTROPLATING ,1,7,51-4193,51-4193,8200,"PLATING & COATING MACHINE SETTERS, OPERATORS, & TENDERS, METAL & PLASTIC"
4840,TOOL & EQUIPMENT REPAIRING,1,6,51-4194,51-4194,8210,"TOOL GRINDERS, FILERS & SHARPENERS"
4403,HAND COMPOSING ,1,7,51-5111,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
4413,NEGATIVE ENGRAVING (Series Discontinued),1,7,51-5111,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
4414,OFFSET PHOTOGRAPHY (Series Discontinued),1,7,51-5111,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
4416,OFFSET PLATEMAKING,1,7,51-5111,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
4449,ELECTROLYTIC INTAGLIO PRINTMAKING,1,7,51-5111,51-5111,8250,PREPRESS TECHNICIANS & WORKERS
4401,GENERAL PRINTING,1,7,51-5112,51-5112,8255,PRINTING PRESS OPERATORS
4406,LETTERPRESS OPERATING,1,7,51-5112,51-5112,8255,PRINTING PRESS OPERATORS
4454,INTAGLIO PRESS OPERATING ,1,7,51-5112,51-5112,8255,PRINTING PRESS OPERATORS#
4417,OFFSET PRESS OPERATING,1,7,51-5112#,51-5112,8255,PRINTING PRESS OPERATORS
4402,BINDERY WORKING,1,7,51-5113,51-5113,8256,PRINT BINDING & FINISHING WORKERS
4441,BOOKBINDING,1,7,51-5113,51-5113,8256,PRINT BINDING & FINISHING WORKERS
7301,"GENERAL LAUNDRY, DRY CLEANING, & PRESSING",1,8*,51-6011,51-6011,8300,LAUNDRY & DRY CLEANING WORKERS
7304,LAUNDRY WORKING ,1,8*,51-6011,51-6011,8300,LAUNDRY & DRY CLEANING WORKERS
7305,LAUNDRY MACHINE OPERATING ,1,8*,51-6011,51-6011,8300,LAUNDRY & DRY CLEANING WORKERS
3111,SEWING MACHINE OPERATING,1,7,51-6031#,51-6031,8320#,SEWING MACHINE OPERATORS#
3106,UPHOLSTERING ,1,7,51-6093,51-6093,8450,UPHOLSTERERS
4605,WOOD CRAFTING,1,6*,51-7011,51-7011,8500,CABINETMAKERS & BENCH CARPENTERS
4701,GENERAL MAINTENANCE & OPERATIONS WORK ,1,6,51-8010,51-8010,8600,"POWER PLANT OPERATORS, DISTRIBUTORS & DISPATCHERS"
5407,ELECTRIC POWER CONTROLLING ,1,7,51-8010,51-8010,8600,"POWER PLANT OPERATORS, DISTRIBUTORS, & DISPATCHERS"
5402,BOILER PLANT OPERATING ,1,7,51-8021,51-8021,8610,STATIONARY ENGINEERS & BOILER OPERATORS
5406,UTILITY SYSTEMS OPERATING,1,7,51-8021,51-8021,8610,STATIONARY ENGINEERS & BOILER OPERATORS
5415,AIR CONDITIONING EQUIPMENT OPERATING,1,7,51-8021,51-8021,8610,STATIONARY ENGINEERS & BOILER OPERATORS
5419,STATIONARY-ENGINE OPERATING,1,7,51-8021,51-8021,8610,STATIONARY ENGINEERS & BOILER OPERATORS
5408,WASTEWATER DISPOSAL PLANT OPERATING,1,7,51-8031,51-8031,8620,WATER & WASTEWATER TREATMENT PLANT & SYSTEM OPERATORS#
5409,WATER TREATMENT PLANT OPERATING,1,7,51-8031,51-8031,8620,WATER & WASTEWATER TREATMENT PLANT & SYSTEM OPERATORS#
1654,PRINTING SERVICES,1,2,11-Nov,51-8090,100,ADMINISTRATIVE SERVICES MANAGERS
1658,LAUNDRY OPERATIONS SERVICES,1,7,51-8090,51-8090,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
4742,UTILITY SYSTEMS REPAIRING-OPERATING,1,7,51-8090,51-8090,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
5413,FUEL DISTRIBUTION SYSTEM OPERATING,1,7,51-8090,51-8090,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
5427,CHEMICAL PLANT OPERATING (Series Discontinued),1,7,51-8090,51-8090,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
5401,GENERAL INDUSTRIAL EQUIPMENT OPERATION,1,7,51-8090#,51-8090,8630,MISCELLANEOUS PLANT & SYSTEM OPERATORS
1999,QUALITY INSPECTION STUDENT TRAINEE,1,3*,51-9061,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS"
3513,COIN/CURRENCY CHECKING,1,7,51-9061,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS"
3705,NONDESTRUCTIVE TESTING,1,7,51-9061,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS"
5205,GAS & RADIATION DETECTING ,1,7*,51-9061,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS"
5439,TESTING EQUIPMENT OPERATING (Series Discontinued),1,7,51-9061,51-9061,8740,"INSPECTORS, TESTERS, SORTERS, SAMPLERS, & WEIGHERS"
683,DENTAL LABORATORY AID & TECHNICIAN,1,3*,51-9080,51-9080,8760,"MEDICAL, DENTAL, & OPHTHALMIC LABORATORY TECHNICIANS"
4001,GENERAL LENS & CRYSTAL WORK,1,7,51-9080,51-9080,8760,"MEDICAL, DENTAL, & OPHTHALMIC LABORATORY TECHNICIANS"
4010,PRESCRIPTION EYEGLASS MAKING,1,7,51-9080,51-9080,8760,"MEDICAL, DENTAL, & OPHTHALMIC LABORATORY TECHNICIANS"
5440,PACKAGING MACHINE OPERATING,1,7,51-9111,51-9111,8800,PACKAGING & FILLING MACHINE OPERATORS & TENDERS
4104,SIGN PAINTING,1,7,51-9120,51-9120,8810,PAINTING WORKERS
9001,GENERAL FILM PROCESSING,1,3,51-9151,51-9151,8830,PHOTOGRAPHIC PROCESS WORKERS & PROCESSING MACHINE OPERATORS
9003,FILM ASSEMBLING & REPAIRING ,1,7,51-9151,51-9151,8830,PHOTOGRAPHIC PROCESS WORKERS & PROCESSING MACHINE OPERATORS
9004,MOTION PICTURE DEVELOPING/PRINTING MACHINE OPERATING (Series Discontinued),1,7,51-9151,51-9151,8830,PHOTOGRAPHIC PROCESS WORKERS & PROCESSING MACHINE OPERATORS
3816,ENGRAVING (Series Discontinued),1,7,51-9194,51-9194,8910,ETCHERS & ENGRAVERS
4301,GENERAL PLIABLE MATERIALS WORK,1,7,51-9195#,51-9195,8920,"MOLDERS, SHAPERS & CASTERS, EXCEPT METAL AND PLASTIC"
4741,GENERAL EQUIPMENT OPERATING,1,7,51-91XX,51-91XX,8965,"OTHER PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS AND COOLING AND FREEZING EQUIPMENT OPERATORS#"
5201,GENERAL MISCELLANEOUS OCCUPATIONS,1,7*,51-91XX,51-91XX,8965,"OTHER PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS AND COOLING AND FREEZING EQUIPMENT OPERATORS#"
7006,PRESERVATION SERVICE ,1,7,51-91XX,51-91XX,8965,"OTHER PRODUCTION WORKERS, INCLUDING SEMICONDUCTOR PROCESSORS AND COOLING AND FREEZING EQUIPMENT OPERATORS#"
2181,AIRCRAFT OPERATION,1,3,53-2010,53-2010,9030,AIRCRAFT PILOTS & FLIGHT ENGINEERS
2183,AIR NAVIGATION,1,3,53-2010,53-2010,9030,AIRCRAFT PILOTS & FLIGHT ENGINEERS
2152,AIR TRAFFIC CONTROL,1,3,53-2020,53-2020,9040,AIR TRAFFIC CONTROLLERS & AIRFIELD OPERATIONS SPECIALISTS
2154,AIR TRAFFIC ASSISTANCE,1,3,53-2020,53-2020,9040,AIR TRAFFIC CONTROLLERS & AIRFIELD OPERATIONS SPECIALISTS
5701,GENERAL TRANSPORTATION/MOBILE EQUIPMENT OPERATION,1,7,53-3099,53-3099,9150,"MOTOR VEHICLE OPERATORS, ALL OTHER"
5703,MOTOR VEHICLE OPERATING,1,7,53-3099#,53-3099,9150,"MOTOR VEHICLE OPERATORS, ALL OTHER#"
5737,LOCOMOTIVE ENGINEERING ,1,7,53-4010,53-4010,9200,LOCOMOTIVE ENGINEERS & OPERATORS
5738,RAILROAD MAINTENANCE VEHICLE OPERATING,1,7,53-4010,53-4010,9200,LOCOMOTIVE ENGINEERS & OPERATORS
5736,BRAKING-SWITCHING & CONDUCTING,1,7,53-4021,53-4021,9230,"RAILROAD BRAKE, SIGNAL & SWITCH OPERATORS"
5782,SHIP OPERATING ,1,7,53-5020,53-5020,9310,SHIP & BOAT CAPTAINS & OPERATORS
5784,RIVERBOAT OPERATING ,1,7,53-5020,53-5020,9310,SHIP & BOAT CAPTAINS & OPERATORS
5786,SMALL CRAFT OPERATING,1,7,53-5020,53-5020,9310,SHIP & BOAT CAPTAINS & OPERATORS
1825,AVIATION SAFETY,1,3*,53-6051,53-6051,9410,TRANSPORTATION INSPECTORS
5725,CRANE OPERATING,1,7*,53-7021,53-7021,9510,CRANE & TOWER OPERATORS
5716,ENGINEERING EQUIPMENT OPERATING,1,7*,53-7030,53-7030,9520,"DREDGE, EXCAVATING, & LOADING MACHINE OPERATORS"
5767,AIRFIELD CLEARING EQUIPMENT OPERATORS,1,7,53-7030,53-7030,9520,"DREDGE, EXCAVATING, & LOADING MACHINE OPERATORS"
5704,FORK LIFT OPERATING,1,7*,53-7051,53-7051,9600,INDUSTRIAL TRUCK & TRACTOR OPERATORS
5705,TRACTOR OPERATING,1,7*,53-7051,53-7051,9600,INDUSTRIAL TRUCK & TRACTOR OPERATORS
7009,EQUIPMENT CLEANING ,1,7*,53-7061,53-7061,9610,CLEANERS OF VEHICLES & EQUIPMENT
3501,GENERAL SERVICES & SUPPORT WORK,1,8*,53-7062,53-7062,9620,"LABORERS & FREIGHT, STOCK, & MATERIAL MOVERS, HAND"
3502,LABORING,1,8*,53-7062,53-7062,9620,"LABORERS & FREIGHT, STOCK, & MATERIAL MOVERS, HAND"
3515,LABORATORY SUPPORT WORKING,1,3*,53-7062,53-7062,9620,"LABORERS & FREIGHT, STOCK, & MATERIAL HANDLERS, HAND"
7001,GENERAL PACKING & PROCESSING,1,8*,53-7064,53-7064,9640,"PACKERS & PACKAGING, HAND"
7002,PACKING,1,8*,53-7064,53-7064,9640,"PACKERS & PACKAGERS, HAND"
